NAME,STATE,COUNTY,x,y
Summit,AK,Matanuska-Susitna Borough,-149.12,63.323
Broad Pass,AK,Matanuska-Susitna Borough,-149.277,63.214
Colorado,AK,Matanuska-Susitna Borough,-149.436,63.158
Ophir,AK,Yukon-Koyukuk Census Area,-156.549,63.144
Tetlin,AK,Southeast Fairbanks Census Area,-142.523,63.132
Medfra,AK,Yukon-Koyukuk Census Area,-154.744,63.106
Chaniliut,AK,Wade Hampton Census Area,-163.445,63.04
Paxson,AK,Valdez-Cordova Census Area,-145.497,63.029
Takotna,AK,Yukon-Koyukuk Census Area,-156.089,62.992
Nikolai,AK,Yukon-Koyukuk Census Area,-154.219,62.985
McGrath,AK,Yukon-Koyukuk Census Area,-155.661,62.958
Northway,AK,Southeast Fairbanks Census Area,-141.933,62.955
Bill Moores,AK,Wade Hampton Census Area,-163.79,62.946
Grayling,AK,Yukon-Koyukuk Census Area,-160.076,62.933
Holikachuk,AK,Yukon-Koyukuk Census Area,-159.564,62.919
Hamilton,AK,Wade Hampton Census Area,-163.888,62.895
Alakanuk,AK,Wade Hampton Census Area,-164.629,62.695
Shageluk,AK,Yukon-Koyukuk Census Area,-159.563,62.692
Anvik,AK,Yukon-Koyukuk Census Area,-160.226,62.661
Curry,AK,Matanuska-Susitna Borough,-149.997,62.61
Chistochina,AK,Valdez-Cordova Census Area,-144.674,62.565
Sheldon Point,AK,Wade Hampton Census Area,-164.873,62.526
Flat,AK,Yukon-Koyukuk Census Area,-158.01,62.459
Chase,AK,Matanuska-Susitna Borough,-150.105,62.453
Chelatna Lodge,AK,Matanuska-Susitna Borough,-151.391,62.44
Paradise,AK,Yukon-Koyukuk Census Area,-160.073,62.421
Nabesna,AK,Valdez-Cordova Census Area,-143.007,62.365
Talkeetna,AK,Matanuska-Susitna Borough,-150.107,62.313
Gakona,AK,Valdez-Cordova Census Area,-145.309,62.299
Gulkana,AK,Valdez-Cordova Census Area,-145.371,62.273
Gost Creek,AK,Yukon-Koyukuk Census Area,-159.829,62.213
Holy Cross,AK,Yukon-Koyukuk Census Area,-159.774,62.198
Sunshine,AK,Matanuska-Susitna Borough,-150.084,62.165
Glennallen,AK,Valdez-Cordova Census Area,-145.551,62.106
Mountain Village,AK,Wade Hampton Census Area,-163.747,62.091
Montana,AK,Matanuska-Susitna Borough,-150.076,62.078
Andreafsky,AK,Wade Hampton Census Area,-163.39,62.071
Chisana,AK,Valdez-Cordova Census Area,-142.057,62.065
Saint Marys,AK,Wade Hampton Census Area,-163.168,62.06
Tazlina,AK,Valdez-Cordova Census Area,-146.449,62.055
Skwentna,AK,Matanuska-Susitna Borough,-151.156,61.964
Copper Center,AK,Valdez-Cordova Census Area,-145.311,61.952
Pilot Station,AK,Wade Hampton Census Area,-162.897,61.947
Eureka Roadhouse,AK,Matanuska-Susitna Borough,-147.174,61.935
Marshall,AK,Wade Hampton Census Area,-162.082,61.889
Crooked Creek,AK,Bethel Census Area,-158.148,61.882
Scammon Bay,AK,Wade Hampton Census Area,-165.581,61.843
